a,un,un
about,sobre,sur
all,todos,tous
also,también,et
and,y,et
as,como,comme
at,en,à
be,ser,être
because,porque,parce que
but,pero,mais
by,por,par
can,puede,peut
come,como,comme
could,podría,pourrait
day,día,jour
do,hacer,faire
dog,perro,chien
even,incluso,même
find,encontrar,trouver
first,primero,première
for,para,pour
from,de,à partir de
get,obtener,obtenir
give,dar,donner
go,Vamos.,aller
have,tienen,ont
he,él,il
her,ella,elle
here,aquí,ici
him,él,lui
his,el suyo,sa
homework,tareas,devoirs
house,casa,maison
how,cómo,comment
human,humanos,humain
I,Yo. . .,Je
if,si,si
in,en,en
into,en,dans
it,que,il
its,su,ses
just,sólo,juste
know,saber,savoir
like,como,comme
look,Mira,Regarde.
make,hacer,faire
man,hombre,homme
many,muchos,de nombreux
me,yo,moi
more,más,plus
my,mi,ma
new,nuevo,nouveau
no,no,non
not,no,pas
now,Ahora,Maintenant
of,de,de
on,sobre,sur
one,uno,une
only,sólo,uniquement
or,o,ou
other,otros,autres
our,nuestra,notre
out,fuera,dehors
people,personas,personnes
say,decir,dire
see,ver,voir
she,ella,elle
so,Así que,ainsi
some,algunos,certains
take,tomar,prendre
tell,contar,dire
than,que,que
that,Que,que
the,el,le
their,su,leur
them,ellos,les
then,entonces,alors
there,allí,là-bas
these,estos,ceux-ci
they,ellos,ils
thing,cosa,chose
think,pensar,Pensez
this,esto,ceci
those,aquellos,ceux-ci
time,tiempo,temps
to,a,à
town,ciudad,ville
two,dos,deux
up,arriba,vers le haut
use,uso,utilisation
very,muy,très
want,quiere,veulent
way,manera,chemin
we,nosotros,nous
well,bien,et bien
what,lo que,ce que
when,cuando,quand
which,que,dont
who,que,qui
will,lo hará,sera
with,con,avec
woman,mujer,femme
would,lo haría,serait
year,año,année
yes,sí,oui
you,usted,vous
your,su,votre
